year,age,draw,std_beg,ira_beg,roth_beg,SS_inc,life_exp,RMD,ira_pull,roth_conv,roth_pull,total_inc,ord_inc,pref_inc,ord_tax,pref_tax,ca_tax,total_tax,std_end,ira_end,roth_end,total_sav,amount_avail,std_stock_gain,std_pretax,LTCapGn,total_gains,total_expenses,net_gain_loss,marg_rate,tax_rate
2026,66,140,1500,1700,100,0,20.2,0,0,82,0,143,100,43,14,6,9,30,1422,1722,188,3332,2437,58,313,27,201,170,32,22%,21%
2027,67,144,1422,1722,188,0,19.4,0,0,83,0,146,100,46,14,7,10,31,1335,1744,283,3361,2453,55,320,31,203,174,29,22%,21%
2028,68,147,1335,1744,283,46,18.6,0,0,38,0,138,100,38,14,6,9,28,1286,1812,338,3436,2490,51,332,24,205,176,29,22%,21%
2029,69,151,1286,1812,338,47,17.8,0,0,37,0,140,100,40,14,6,9,29,1232,1885,396,3513,2528,50,340,27,210,180,30,22%,21%
2030,70,155,1232,1885,396,48,17.0,0,0,37,0,143,100,43,14,6,9,30,1171,1963,457,3592,2566,47,344,30,214,184,30,22%,21%
2031,71,158,1171,1963,457,50,16.3,0,0,36,0,145,100,45,14,7,10,30,1104,2047,521,3671,2604,45,342,33,219,189,30,22%,21%
2032,72,162,1104,2047,521,51,15.5,0,0,36,0,148,100,48,14,7,10,31,1028,2136,589,3753,2643,42,335,36,224,193,31,22%,21%
2033,73,166,1028,2136,589,52,14.8,0,0,36,0,151,100,51,14,8,10,32,945,2230,660,3836,2682,40,323,40,229,198,31,22%,21%
2034,74,171,945,2230,660,53,14.1,0,0,35,0,154,100,54,14,8,10,32,853,2331,736,3920,2722,36,305,44,234,203,31,22%,21%
2035,75,175,853,2331,736,55,13.4,95,95,0,0,187,160,27,28,4,14,46,834,2378,781,3994,2770,33,309,18,239,220,19,24%,24%
2036,76,179,834,2378,781,56,12.7,100,100,0,0,194,166,28,29,4,14,48,815,2423,828,4066,2819,32,312,19,244,227,17,24%,25%
2037,77,184,815,2423,828,57,12.1,106,106,0,0,202,173,29,31,4,15,50,794,2465,879,4138,2869,31,314,20,248,234,14,24%,25%
2038,78,188,794,2465,879,59,11.4,112,112,0,0,210,180,29,33,4,16,53,772,2504,933,4208,2920,31,315,21,252,241,11,24%,25%
2039,79,193,772,2504,933,60,10.8,119,119,0,0,218,188,29,35,4,16,56,749,2538,989,4277,2971,30,314,21,257,248,8,24%,26%
2040,80,198,749,2538,989,62,10.2,126,126,0,0,226,196,30,37,4,17,58,727,2567,1050,4343,3024,29,313,22,261,256,5,24%,26%
2041,81,203,727,2567,1050,63,9.7,132,132,0,0,234,204,30,39,4,18,61,703,2591,1114,4408,3077,28,310,22,265,264,1,24%,26%
2042,82,208,703,2591,1114,65,9.1,140,140,0,0,244,213,30,41,5,19,65,678,2609,1182,4469,3131,27,306,23,269,272,-4,32%,27%
2043,83,213,678,2609,1182,67,8.6,147,147,0,0,253,222,31,44,5,20,68,652,2621,1254,4527,3184,26,301,24,273,281,-9,32%,27%
2044,84,218,652,2621,1254,68,8.1,156,156,0,0,263,232,31,47,5,21,73,625,2625,1330,4581,3238,25,295,24,276,291,-15,32%,28%
2045,85,224,625,2625,1330,70,7.6,164,164,0,0,273,242,31,50,5,21,76,597,2621,1412,4630,3292,24,287,25,279,300,-21,32%,28%
2046,86,229,597,2621,1412,72,7.1,172,172,0,0,283,251,31,53,5,22,81,568,2608,1498,4674,3345,23,278,25,282,310,-28,32%,29%
2047,87,235,568,2608,1498,74,6.7,181,181,0,0,293,261,32,57,5,23,85,537,2586,1589,4712,3398,22,267,26,285,320,-35,35%,29%
2048,88,241,537,2586,1589,75,6.3,189,189,0,0,303,271,33,60,5,24,89,504,2555,1686,4745,3451,21,255,27,287,330,-43,35%,29%
2049,89,247,504,2555,1686,77,5.9,198,198,0,0,314,281,33,64,5,25,94,469,2513,1789,4771,3502,19,241,28,289,341,-52,35%,30%
2050,90,253,469,2513,1789,79,5.5,206,206,0,0,324,291,34,67,5,26,98,431,2460,1898,4789,3553,18,225,29,291,352,-61,35%,30%
2051,91,260,431,2460,1898,81,5.2,214,214,0,0,335,300,35,70,5,27,103,390,2396,2014,4800,3602,17,207,30,292,362,-70,35%,31%
2052,92,266,390,2396,2014,83,4.9,222,222,0,0,345,310,36,74,5,28,107,346,2321,2137,4803,3650,15,186,31,293,373,-81,35%,31%
2053,93,273,346,2321,2137,85,4.6,230,230,0,0,356,319,37,77,6,29,112,297,2232,2267,4797,3696,13,162,33,293,384,-91,35%,31%
2054,94,280,297,2232,2267,87,4.3,235,235,0,0,365,326,39,79,6,30,115,243,2134,2405,4782,3740,11,134,36,293,395,-102,35%,32%
2055,95,286,243,2134,2405,90,4.0,240,240,0,0,374,332,41,82,6,31,119,182,2024,2552,4758,3782,9,102,39,292,405,-114,35%,32%
2056,96,294,182,2024,2552,92,3.7,241,241,0,0,380,335,45,83,7,32,121,111,1907,2708,4725,3821,7,63,44,290,415,-125,35%,32%
2057,97,301,111,1907,2708,94,3.4,244,244,0,0,389,340,49,84,7,33,124,31,1778,2873,4682,3858,4,18,48,288,425,-137,35%,32%
2058,98,309,31,1778,2873,96,3.2,244,244,0,62,396,340,55,84,8,33,126,0,1643,2986,4630,3879,1,0,55,286,435,-149,35%,32%
2059,99,316,0,1643,2986,99,3.0,242,242,0,88,341,341,0,84,0,28,112,0,1502,3081,4582,3903,0,0,0,282,429,-146,35%,33%
2060,100,324,0,1502,3081,101,2.8,235,235,0,98,336,336,0,83,0,27,110,0,1359,3170,4529,3921,0,0,0,280,434,-155,35%,33%
